,Brand_name,Smartphone_name,Colour,RAM,Storage_ROM,Camera,Battery_Capacity,Price,Product_Urls
0,OnePlus,OnePlus Nord CE 2 Lite 5G ,Blue Tide,6 GB RAM , 128 GB ROM,64MP Rear Camera,5000 mAh Battery,"₹18,055",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-blue-tide-128-gb/p/itm7acae55b999e6?pid=MOBGMFREBAHZQGY9&lid=LSTMOBGMFREBAHZQGY95Q3SAS&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=9e11d52d-e597-4398-ac4e-82fb889dd37d.MOBGMFREBAHZQGY9.SEARCH&ppt=hp&ppn=homepage&ssid=k01mdycug00000001688661341696&qH=e8b736bf4fa84421
1,OnePlus,OnePlus Nord CE 2 Lite 5G ,Black Dusk,6 GB RAM , 128 GB ROM,64MP Rear Camera,5000 mAh Battery,"₹17,888",https://www.flipkart.com/oneplus-nord-ce-2-lite-5g-black-dusk-128-gb/p/itm537fc2aa73747?pid=MOBGHBZHB7YJT5HF&lid=LSTMOBGHBZHB7YJT5HFYPOJLU&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=9e11d52d-e597-4398-ac4e-82fb889dd37d.MOBGHBZHB7YJT5HF.SEARCH&ppt=hp&ppn=homepage&ssid=k01mdycug00000001688661341696&qH=e8b736bf4fa84421
2,OnePlus,OnePlus Nord 2T 5G ,Gray Shadow,8 GB RAM , 128 GB ROM,50MP Rear Camera,4500 mAh Battery,"₹27,872",https://www.flipkart.com/oneplus-nord-2t-5g-gray-shadow-128-gb/p/itmeadf76c1e8943?pid=MOBGHBZH2S8MWQGQ&lid=LSTMOBGHBZH2S8MWQGQ2UJVP3&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=9e11d52d-e597-4398-ac4e-82fb889dd37d.MOBGHBZH2S8MWQGQ.SEARCH&ppt=hp&ppn=homepage&ssid=k01mdycug00000001688661341696&qH=e8b736bf4fa84421
3,OnePlus,OnePlus Nord 2T 5G ,Jade Fog,8 GB RAM , 128 GB ROM,50MP Rear Camera,4500 mAh Battery,"₹28,096",https://www.flipkart.com/oneplus-nord-2t-5g-jade-fog-128-gb/p/itm35e6b96d50ae8?pid=MOBGNQHZ7V2GPFKG&lid=LSTMOBGNQHZ7V2GPFKGHLERCI&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=9e11d52d-e597-4398-ac4e-82fb889dd37d.MOBGNQHZ7V2GPFKG.SEARCH&ppt=hp&ppn=homepage&ssid=k01mdycug00000001688661341696&qH=e8b736bf4fa84421
4,OnePlus,OnePlus Nord 2T 5G ,Gray Shadow,8 GB RAM , 128 GB ROM,50MP Rear Camera,4500 mAh Battery,"₹28,087",https://www.flipkart.com/oneplus-nord-2t-5g-gray-shadow-128-gb/p/itmd6fae876845b9?pid=MOBGZKM5XBXSJYZT&lid=LSTMOBGZKM5XBXSJYZT6UBCXX&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=9e11d52d-e597-4398-ac4e-82fb889dd37d.MOBGZKM5XBXSJYZT.SEARCH&ppt=hp&ppn=homepage&ssid=k01mdycug00000001688661341696&qH=e8b736bf4fa84421
5,OnePlus,OnePlus Nord ,Gray Onyx,12 GB RAM , 256 GB ROM,48MP + 8MP | 32MP + 8MP Dual Front Camera,4115 mAh Battery,"₹27,990",https://www.flipkart.com/oneplus-nord-gray-onyx-256-gb/p/itm49f817b591982?pid=MOBFUE5GGWHFC37J&lid=LSTMOBFUE5GGWHFC37JNYUOSE&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=9e11d52d-e597-4398-ac4e-82fb889dd37d.MOBFUE5GGWHFC37J.SEARCH&ppt=hp&ppn=homepage&ssid=k01mdycug00000001688661341696&qH=e8b736bf4fa84421
6,OnePlus,OnePlus Nord ,Blue Marble,8 GB RAM , 128 GB ROM,48MP + 8MP | 32MP + 8MP Dual Front Camera,4115 mAh Battery,"₹24,990",https://www.flipkart.com/oneplus-nord-blue-marble-128-gb/p/itm3f93c90430130?pid=MOBFUE5JWYDZX6HX&lid=LSTMOBFUE5JWYDZX6HX2BOYAS&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=9e11d52d-e597-4398-ac4e-82fb889dd37d.MOBFUE5JWYDZX6HX.SEARCH&ppt=hp&ppn=homepage&ssid=k01mdycug00000001688661341696&qH=e8b736bf4fa84421
7,OnePlus,OnePlus Nord ,Gray Onyx,8 GB RAM , 128 GB ROM,48MP + 8MP | 32MP + 8MP Dual Front Camera,4115 mAh Battery,"₹24,990",https://www.flipkart.com/oneplus-nord-gray-onyx-128-gb/p/itm3f93c90430130?pid=MOBFUE5HW4XUUGBN&lid=LSTMOBFUE5HW4XUUGBN2VPNLY&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=9e11d52d-e597-4398-ac4e-82fb889dd37d.MOBFUE5HW4XUUGBN.SEARCH&ppt=hp&ppn=homepage&ssid=k01mdycug00000001688661341696&qH=e8b736bf4fa84421
8,OnePlus,OnePlus Nord ,Gray Onyx,6 GB RAM , 64 GB ROM,48MP + 8MP | 32MP + 8MP Dual Front Camera,4115 mAh Battery,"₹23,990",https://www.flipkart.com/oneplus-nord-gray-onyx-64-gb/p/itm49f817b591982?pid=MOBFUE5H57THFNVJ&lid=LSTMOBFUE5H57THFNVJNPNANV&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=9e11d52d-e597-4398-ac4e-82fb889dd37d.MOBFUE5H57THFNVJ.SEARCH&ppt=hp&ppn=homepage&ssid=k01mdycug00000001688661341696&qH=e8b736bf4fa84421
9,OnePlus,OnePlus Nord 2 5G ,Gray Sierra,8 GB RAM , 128 GB ROM,50MP Rear Camera,4500 mAh Battery,"₹29,999",https://www.flipkart.com/oneplus-nord-2-5g-gray-sierra-128-gb/p/itmd16c63dadf5c5?pid=MOBGDBFFA5EGECHQ&lid=LSTMOBGDBFFA5EGECHQQKVBBR&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=9e11d52d-e597-4398-ac4e-82fb889dd37d.MOBGDBFFA5EGECHQ.SEARCH&ppt=hp&ppn=homepage&ssid=k01mdycug00000001688661341696&qH=e8b736bf4fa84421
10,OnePlus,OnePlus Nord 2 5G ,PAC-MAN,12 GB RAM , 256 GB ROM,50MP Rear Camera,4500 mAh Battery,"₹32,990",https://www.flipkart.com/oneplus-nord-2-5g-pac-man-256-gb/p/itmd16c63dadf5c5?pid=MOBGEYH6EJGAWMFT&lid=LSTMOBGEYH6EJGAWMFTXSUHIR&marketplace=FLIPKART&q=oneplus+nord&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=9e11d52d-e597-4398-ac4e-82fb889dd37d.MOBGEYH6EJGAWMFT.SEARCH&ppt=hp&ppn=homepage&ssid=k01mdycug00000001688661341696&qH=e8b736bf4fa84421
